"","V2","V3","V4","V5","V6","V7","V8","Decyzja"
"308","71  0","86  0","48  0","50  0","40  0","54  0","32   pp","LIVJ_ECOLI  0"
"309","68  0","78  0","48  0","50  0","43  0","44  0","42   pp","LIVK_ECOLI  0"
"310","64  0","84  0","48  0","50  0","37  0","45  0","40   pp","MALE_ECOLI  0"
"311","74  0","47  0","48  0","50  0","50  0","57  0","42   pp","MALM_ECOLI  0"
"312","75  0","84  0","48  0","50  0","35  0","52  0","33   pp","MEPA_ECOLI  0"
"313","63  0","65  0","48  0","50  0","39  0","44  0","35   pp","MODA_ECOLI  0"
"314","69  0","67  0","48  0","50  0","30  0","39  0","24   pp","NRFA_ECOLI  0"
"315","70  0","71  0","48  0","50  0","42  0","84  0","85   pp","NRFF_ECOLI  0"
"316","69  0","80  0","48  0","50  0","46  0","57  0","26   pp","OPPA_ECOLI  0"
"317","64  0","66  0","48  0","50  0","41  0","39  0","20   pp","OSMY_ECOLI  0"
"318","63  0","80  0","48  0","50  0","46  0","31  0","29   pp","POTD_ECOLI  0"
"319","66  0","71  0","48  0","50  0","41  0","50  0","35   pp","POTF_ECOLI  0"
"320","69  0","59  0","48  0","50  0","46  0","44  0","52   pp","PPA_ECOLI   0"
"321","68  0","67  0","48  0","50  0","49  0","40  0","34   pp","PPB_ECOLI   0"
"322","64  0","78  0","48  0","50  0","50  0","36  0","38   pp","PROX_ECOLI  0"
"323","62  0","78  0","48  0","50  0","47  0","49  0","54   pp","PSTS_ECOLI  0"
"324","76  0","73  0","48  0","50  0","44  0","39  0","39   pp","PTR_ECOLI   0"
"325","64  0","81  0","48  0","50  0","37  0","39  0","44   pp","RBSB_ECOLI  0"
"326","29  0","39  0","48  0","50  0","52  0","40  0","48   pp","SPEA_ECOLI  0"
"327","62  0","83  0","48  0","50  0","46  0","36  0","40   pp","SUBI_ECOLI  0"
"328","56  0","54  0","48  0","50  0","43  0","37  0","30   pp","TBPA_ECOLI  0"
"329","69  0","66  0","48  0","50  0","41  0","50  0","25   pp","TESA_ECOLI  0"
"330","69  0","65  0","48  0","50  0","63  0","48  0","41   pp","TOLB_ECOLI  0"
"331","43  0","59  0","48  0","50  0","52  0","49  0","56   pp","TORA_ECOLI  0"
"332","74  0","56  0","48  0","50  0","47  0","68  0","30   pp","TREA_ECOLI  0"
"333","71  0","57  0","48  0","50  0","48  0","35  0","32   pp","UGPB_ECOLI  0"
"334","61  0","60  0","48  0","50  0","44  0","39  0","38   pp","USHA_ECOLI  0"
"335","59  0","61  0","48  0","50  0","42  0","42  0","37   pp","XYLF_ECOLI  0"
"336","74  0","74  0","48  0","50  0","31  0","53  0","52   pp","YTFQ_ECOLI  0"
